name,address,city,arrondissement,neighborhood,category,cuisine,price_range,rating,review_count,latitude,longitude,google_maps_url,website_url,booking_url,description
Aï Hsu,"16 Rue Saint-Sébastien, 75011 Paris, France",Paris,11e,,restaurant,,,,,48.86096999999999,2.3689244,https://www.google.com/maps/search/?api=1&query=A%C3%AF%20Hsu%2C%20Paris%2C%20France,,https://thefork.fr/restaurant/ai-hsu-table-r301139/?cc=24751-923,"Arrondissement: 11e
Food types: restaurant
Tags: Japanese, Restaurant
Google Maps: https://www.google.com/maps/search/?api=1&query=A%C3%AF%20Hsu%2C%20Paris%2C%20France
Booking: https://thefork.fr/restaurant/ai-hsu-table-r301139/?cc=24751-923"
BIWAN ⸱ iRASSHAi,"40 Rue du Louvre, 75001 Paris, France",Paris,1er,,restaurant,,,4.7,730,48.8642928,2.3425687,https://maps.google.com/?cid=1942768491856955954&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://irasshai.co/pages/biwan-la-table,https://www.thefork.fr/restaurant/irasshai-biwan-r804659,"Type: Japanese Restaurant
Arrondissement: 1er
Google: 4.7 (730 reviews)
Food types: restaurant
Tags: Japanese, Restaurant
Google Maps: https://maps.google.com/?cid=1942768491856955954&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://irasshai.co/pages/biwan-la-table
Booking: https://www.thefork.fr/restaurant/irasshai-biwan-r804659"
Benchy,"Rue du Cherche-Midi, Paris, France",Paris,,,restaurant,,,4.2,404,48.8492484,2.3256964,https://maps.google.com/?cid=2474453887306421118&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,"Type: Sandwich Shop
Google: 4.2 (404 reviews)
Food types: restaurant
Tags: Cafe, Japanese
Google Maps: https://maps.google.com/?cid=2474453887306421118&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
Blueberry Maki Bar,"6 Rue du Sabot, 75006 Paris, France",Paris,6e,,restaurant,,,4.5,1510,48.85277059999999,2.3314671,https://maps.google.com/?cid=5139195972309453817&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.blueberrymakibar.com/,https://www.blueberrymakibar.com/menus,"Type: Sushi Restaurant
Arrondissement: 6e
Google: 4.5 (1,510 reviews)
Food types: restaurant
Tags: Japanese, Restaurant, Gastro / higher end, Trendy
Google summary: Chic modern Japanese-style gastrobar with an open kitchen, serving creative sushi rolls & cocktails.
Google Maps: https://maps.google.com/?cid=5139195972309453817&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.blueberrymakibar.com/
Booking: https://www.blueberrymakibar.com/menus"
Castor Club,"14 Rue Hautefeuille, 75006 Paris, France",Paris,6e,,bar,,,,,48.85198119999999,2.342347,https://www.google.com/maps/search/?api=1&query=Castor%20Club%2C%20Paris%2C%20France,http://www.facebook.com/pages/Castor-Club/131753693594498?sk=info,,"Arrondissement: 6e
Food types: bar
Tags: SH, Cocktail
Google Maps: https://www.google.com/maps/search/?api=1&query=Castor%20Club%2C%20Paris%2C%20France
Website: http://www.facebook.com/pages/Castor-Club/131753693594498?sk=info"
Cococo,"35 Rue Coquillière, 75001 Paris, France",Paris,1er,,restaurant,,,,,48.8643242,2.3410183,https://www.google.com/maps/search/?api=1&query=Cococo%2C%20Paris%2C%20France,http://restaurant-cococo.fr/fr,,"Arrondissement: 1er
Food types: restaurant
Tags: Japanese, Restaurant, Healthy
Google Maps: https://www.google.com/maps/search/?api=1&query=Cococo%2C%20Paris%2C%20France
Website: http://restaurant-cococo.fr/fr"
DokiDoki Louvre - Finest Handroll Bar,"59 Rue Jean-Jacques Rousseau, 75001 Paris, France",Paris,1er,,restaurant,,,4.6,658,48.8631972,2.3420125,https://maps.google.com/?cid=10816110014351811526&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.dokidoki-handroll.com/,https://thefork.fr/restaurant/dokidoki-paris-9-r837834/?cc=24751-923,"Type: Restaurant
Arrondissement: 1er
Google: 4.6 (658 reviews)
Food types: restaurant
Tags: Fish, Japanese
Google Maps: https://maps.google.com/?cid=10816110014351811526&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.dokidoki-handroll.com/
Booking: https://thefork.fr/restaurant/dokidoki-paris-9-r837834/?cc=24751-923"
EnYaa,"37 Rue de Montpensier, 75001 Paris, France",Paris,1er,,restaurant,,,,,48.8658639,2.337334499999999,https://www.google.com/maps/search/?api=1&query=EnYaa%2C%20Paris%2C%20France,http://www.enyaa-paris.com/,https://thefork.fr/restaurant/enyaa-r286949/?cc=24751-923,"Arrondissement: 1er
Food types: restaurant
Tags: Japanese, Restaurant
Google Maps: https://www.google.com/maps/search/?api=1&query=EnYaa%2C%20Paris%2C%20France
Website: http://www.enyaa-paris.com/
Booking: https://thefork.fr/restaurant/enyaa-r286949/?cc=24751-923"
Eunoé,"6 Rue Rochebrune, 75011 Paris, France",Paris,11e,,restaurant,,,4.8,905,48.8607713,2.378991,https://maps.google.com/?cid=9843713178588934640&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.eunoe-restaurant.com/,https://bookings.zenchef.com/results?rid=362706&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web,"Type: Restaurant
Arrondissement: 11e
Google: 4.8 (905 reviews)
Food types: restaurant
Tags: Frenchie, Restaurant, Japanese
Google Maps: https://maps.google.com/?cid=9843713178588934640&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://www.eunoe-restaurant.com/
Booking: https://bookings.zenchef.com/results?rid=362706&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web"
Experimental Cocktail Club,"37 Rue Saint-Sauveur, 75002 Paris, France",Paris,2e,,bar,,,,,48.86606399999999,2.348261,https://www.google.com/maps/search/?api=1&query=Experimental%20Cocktail%20Club%2C%20Paris%2C%20France,https://www.experimentalgroup.com/venue/experimental-cocktail-club/,,"Arrondissement: 2e
Food types: bar
Tags: SH, Cocktail, Trendy
Google Maps: https://www.google.com/maps/search/?api=1&query=Experimental%20Cocktail%20Club%2C%20Paris%2C%20France
Website: https://www.experimentalgroup.com/venue/experimental-cocktail-club/"
Grand Pigalle Hôtel,"29 Rue Victor Massé, 75009 Paris, France",Paris,9e,,"lodging, hotel",,,,,48.8809013,2.3375566,https://www.google.com/maps/search/?api=1&query=Grand%20Pigalle%20H%C3%B4tel%2C%20Paris%2C%20France,http://www.grandpigalle.com/,,"Arrondissement: 9e
Food types: lodging, hotel
Tags: Restaurant, Cocktail, Hotel / BB, Trendy, SH, To work
Google Maps: https://www.google.com/maps/search/?api=1&query=Grand%20Pigalle%20H%C3%B4tel%2C%20Paris%2C%20France
Website: http://www.grandpigalle.com/"
Haikara,"82 Rue de la Folie Méricourt, 75011 Paris, France",Paris,11e,,restaurant,,,4.5,275,48.86643179999999,2.3700204,https://maps.google.com/?cid=9815362547646592954&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://haikarasummer.wixsite.com/haikarasummer,https://bookings.zenchef.com/results?rid=378763&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web,"Type: Restaurant
Arrondissement: 11e
Google: 4.5 (275 reviews)
Food types: restaurant
Tags: Restaurant, Japanese
Google Maps: https://maps.google.com/?cid=9815362547646592954&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://haikarasummer.wixsite.com/haikarasummer
Booking: https://bookings.zenchef.com/results?rid=378763&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web"
