name,address,city,arrondissement,neighborhood,category,cuisine,price_range,rating,review_count,latitude,longitude,google_maps_url,website_url,booking_url,description
52 Fauboug Saint-Denis,"52 Rue du Faubourg Saint-Denis, Paris, France",,,,generic,,,,,48.8719482421875,2.354031324386597,https://www.google.com/maps/search/?api=1&query=52%20Fauboug%20Saint-Denis,,,"Food types: generic
Tags: Restaurant
Google Maps: https://www.google.com/maps/search/?api=1&query=52%20Fauboug%20Saint-Denis"
A donde Kontxi,"Adiskidetasun Kalea, Bilbao, Espagne",,,,bar,,,,,43.2611227,-2.9259174,https://www.google.com/maps/search/?api=1&query=A%20donde%20Kontxi,,,"Food types: bar
Tags: Restaurant
Google Maps: https://www.google.com/maps/search/?api=1&query=A%20donde%20Kontxi"
Akra,"Aminta 12, Athina 116 35, Greece",,,,generic,,,,,37.9718725,23.7450391,https://www.google.com/maps/search/?api=1&query=Akra,,,"Food types: generic
Tags: Restaurant
Google Maps: https://www.google.com/maps/search/?api=1&query=Akra"
Albion Jeune,"Little Portland Street, Londres, Royaume-Uni",,,,art_gallery,,,,,51.5169758,-0.1417235,https://www.google.com/maps/search/?api=1&query=Albion%20Jeune,,,"Food types: art_gallery
Tags: Art
Google Maps: https://www.google.com/maps/search/?api=1&query=Albion%20Jeune"
Ama lachei,"Kallidromiou 69, Athina 106 83, Grèce",,,,generic,,,,,37.9878811,23.7370637,https://www.google.com/maps/search/?api=1&query=Ama%20lachei,,,"Food types: generic
Tags: Restaurant
Google Maps: https://www.google.com/maps/search/?api=1&query=Ama%20lachei"
Aromme Boutique du Café,"Calle San Francisco, Santander, Espagne",,,,cafe,,,,,43.46188735961914,-3.808337688446045,https://www.google.com/maps/search/?api=1&query=Aromme%20Boutique%20du%20Caf%C3%A9,,,"Food types: cafe
Tags: Cafe
Google Maps: https://www.google.com/maps/search/?api=1&query=Aromme%20Boutique%20du%20Caf%C3%A9"
BUTTER bakery & cafe by InterContinental,"Phloen Chit Road, Lumphini, Pathum Wan, Bangkok, Thaïlande",,,,cafe,,,,,13.7436273,100.5454157,https://www.google.com/maps/search/?api=1&query=BUTTER%20bakery%20%26%20cafe%20by%20InterContinental,,,"Food types: cafe
Tags: Bakery
Google Maps: https://www.google.com/maps/search/?api=1&query=BUTTER%20bakery%20%26%20cafe%20by%20InterContinental"
Baek nyun ok,"2407 Nambusunhwan-ro, Seocho-gu, Seoul 06719, Corée du Sud",,,,generic,,,,,37.481199,127.0137847,https://www.google.com/maps/search/?api=1&query=Baek%20nyun%20ok,,,"Food types: generic
Tags: Restaurant
Google Maps: https://www.google.com/maps/search/?api=1&query=Baek%20nyun%20ok"
Bar omi,"6 Rue du Marché Saint-Honoré, 75001 Paris, France",,,,generic,,,,,48.8658957,2.3312413,https://www.google.com/maps/search/?api=1&query=Bar%20omi,,,"Food types: generic
Tags: Restaurant, Trendy, Japanese
Google Maps: https://www.google.com/maps/search/?api=1&query=Bar%20omi"
Benanti,"Via Giuseppe Garibaldi, 361, 95029 Viagrande CT, Italie",,,,generic,,,,,37.6159152,15.0989468,https://www.google.com/maps/search/?api=1&query=Benanti,,,"Food types: generic
Tags: Wine bar
Google Maps: https://www.google.com/maps/search/?api=1&query=Benanti"
Blaine bar,"65 Rue Pierre Charron, Paris, France",,,,generic,,,,,48.87002563476562,2.304074287414551,https://www.google.com/maps/search/?api=1&query=Blaine%20bar,,,"Food types: generic
Tags: Cocktail, Bar
Google Maps: https://www.google.com/maps/search/?api=1&query=Blaine%20bar"
Boutique Spa Caudalie,"Rue Saint-Sulpice, Paris, France",,,,generic,,,,,48.85159820000001,2.3347385,https://www.google.com/maps/search/?api=1&query=Boutique%20Spa%20Caudalie,,,"Food types: generic
Tags: Beauty
Google Maps: https://www.google.com/maps/search/?api=1&query=Boutique%20Spa%20Caudalie"
CHANEL PARFUMS ET BEAUTÉ PASSY,"Chaussée de la Muette, Paris, France",,,,generic,,,,,48.85829925537109,2.275859594345093,https://www.google.com/maps/search/?api=1&query=CHANEL%20PARFUMS%20ET%20BEAUT%C3%89%20PASSY,,,"Food types: generic
Tags: Beauty
Google Maps: https://www.google.com/maps/search/?api=1&query=CHANEL%20PARFUMS%20ET%20BEAUT%C3%89%20PASSY"
