name,address,city,arrondissement,neighborhood,category,cuisine,price_range,rating,review_count,latitude,longitude,google_maps_url,website_url,booking_url,description
114 Faubourg,"Rue du Faubourg Saint-Honoré, Paris, France",Paris,,,restaurant,,€€€€,4.7,454,48.8717796,2.3144678,https://maps.google.com/?cid=2154612531161811698&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.oetkercollection.com/fr/hotels/le-bristol-paris/restaurants-et-bar/restaurants/114-faubourg/,https://thefork.fr/restaurant/le-114-faubourg-le-bristol-paris-r291345/?cc=24751-923,"Type: French Restaurant
Price: €€€€
Google: 4.7 (454 reviews)
Food types: restaurant
Tags: Bistrot, Frenchie, Gastro / higher end
Google summary: Elevated dishes & tasting menus in a chic brasserie with plush seats & bold floral wall prints.
Google Maps: https://maps.google.com/?cid=2154612531161811698&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://www.oetkercollection.com/fr/hotels/le-bristol-paris/restaurants-et-bar/restaurants/114-faubourg/
Booking: https://thefork.fr/restaurant/le-114-faubourg-le-bristol-paris-r291345/?cc=24751-923"
A La Renaissance,"87 Rue de la Roquette, 75011 Paris, France",Paris,11e,,bar,,€€,4.3,510,48.8571599,2.3786809,https://maps.google.com/?cid=17297391821107794765&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.restaurant-a-la-renaissance.com/,,"Type: Bistro
Arrondissement: 11e
Price: €€
Google: 4.3 (510 reviews)
Food types: bar
Tags: Bistrot, Dancing
Google Maps: https://maps.google.com/?cid=17297391821107794765&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.restaurant-a-la-renaissance.com/"
A Rebours,"46 Rue Sainte-Croix de la Bretonnerie, 75004 Paris, France",Paris,4e,,shopping,,,,,48.8589174,2.354588999999999,https://www.google.com/maps/search/?api=1&query=A%20Rebours%2C%20Paris%2C%20France,https://www.lafayetteanticipations.com/fr,,"Arrondissement: 4e
Food types: shopping
Tags: Concept-store
Google Maps: https://www.google.com/maps/search/?api=1&query=A%20Rebours%2C%20Paris%2C%20France
Website: https://www.lafayetteanticipations.com/fr"
A la Folie Théâtre,"6 Rue de la Folie Méricourt, 75011 Paris, France",Paris,11e,,generic,,,4.4,213,48.86141929999999,2.3748357,https://maps.google.com/?cid=8736004116634024602&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.folietheatre.com/,,"Type: Performing Arts Theater
Arrondissement: 11e
Google: 4.4 (213 reviews)
Food types: generic
Tags: Cafe
Google Maps: https://maps.google.com/?cid=8736004116634024602&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.folietheatre.com/"
ALMAS,"Rue de Chabrol, Paris, France",Paris,,,restaurant,,,5,130,48.8769653,2.3525352,https://maps.google.com/?cid=5487986251545238210&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://almasrestaurant.fr/,,"Type: Restaurant
Google: 5.0 (130 reviews)
Food types: restaurant
Tags: Restaurant, Street food
Google Maps: https://maps.google.com/?cid=5487986251545238210&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://almasrestaurant.fr/"
AMA PARIS,"2 Rue Bichat, 75010 Paris, France",Paris,10e,,restaurant,,,4,1008,48.86965,2.36932,https://maps.google.com/?cid=4519042102872921569&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://ama-paris.fr/,https://bookings.zenchef.com/results?rid=353663&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web,"Type: Restaurant
Arrondissement: 10e
Google: 4.0 (1,008 reviews)
Food types: restaurant
Tags: Restaurant
Google Maps: https://maps.google.com/?cid=4519042102872921569&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://ama-paris.fr/
Booking: https://bookings.zenchef.com/results?rid=353663&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web"
ANONA,"80 boulevard des Batignolles, Paris 75017",Paris,17e,,restaurant,,,4.7,1702,48.8820038,2.318627,https://maps.google.com/?cid=14487341996310914081&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.anona.fr/,https://bookings.zenchef.com/results?rid=352333&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web,"Type: French Restaurant
Arrondissement: 17e
Google: 4.7 (1,702 reviews)
Food types: restaurant
Tags: Gastro / higher end
Google summary: Sophisticated cuisine & tasting menus with a sustainable focus at a sleek venue with a terrace.
Google Maps: https://maps.google.com/?cid=14487341996310914081&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.anona.fr/
Booking: https://bookings.zenchef.com/results?rid=352333&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web"
AVE Pizza Romana,"90 Rue de la Folie Méricourt, 75011 Paris, France",Paris,11e,,restaurant,,,4.7,1576,48.8669478,2.3696267,https://maps.google.com/?cid=5925243916874515936&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://ave-pizza-romana.business.site/,https://bookings.zenchef.com/results?rid=363087&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web,"Type: Pizza Restaurant
Arrondissement: 11e
Google: 4.7 (1,576 reviews)
Food types: restaurant
Tags: Restaurant, Italian
Google summary: Airy, contemporary pizzeria serving Roman-style pies, plus calzones, starters, cocktails & desserts.
Google Maps: https://maps.google.com/?cid=5925243916874515936&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://ave-pizza-romana.business.site/
Booking: https://bookings.zenchef.com/results?rid=363087&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web"
Abattoir végétal,"9 Rue Guisarde, 75006 Paris, France",Paris,6e,,restaurant,,,,,48.8517649,2.3346752,https://maps.google.com/?cid=17855369776657667196&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.abattoirvegetal.com/,,"Type: Restaurant
Arrondissement: 6e
Food types: restaurant
Tags: Cafe
Google Maps: https://maps.google.com/?cid=17855369776657667196&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.abattoirvegetal.com/"
Acid Lactic,"15 Rue de la Folie Méricourt, 75011 Paris, France",Paris,11e,,restaurant,,,4.3,39,48.8621272,2.3739241,https://maps.google.com/?cid=9406144155338785582&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,"Type: Pizza Restaurant
Arrondissement: 11e
Google: 4.3 (39 reviews)
Food types: restaurant
Tags: bootstrap, paris, Pizza
Google Maps: https://maps.google.com/?cid=9406144155338785582&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
Akabeko − Restaurant Fusion Français et Japonais,"40 Rue de l'Université, 75007 Paris, France",Paris,7e,,restaurant,,,4.8,635,48.8576718,2.3284201,https://maps.google.com/?cid=1901445872533971391&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://akabekorestaurant.com/,https://akabekorestaurant.com/restaurant-reserver/,"Type: French Restaurant
Arrondissement: 7e
Google: 4.8 (635 reviews)
Food types: restaurant
Tags: Gastro / higher end, Restaurant
Google Maps: https://maps.google.com/?cid=1901445872533971391&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://akabekorestaurant.com/
Booking: https://akabekorestaurant.com/restaurant-reserver/"
Allard,41 rue Saint-André Des Arts Paris 75006,Paris,6e,,restaurant,,€€€,4.3,1269,48.85330320000001,2.3410216,https://maps.google.com/?cid=7378348292976889048&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.restaurant-allard.fr/,https://bookings.zenchef.com/results?rid=374504&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web,"Type: French Restaurant
Arrondissement: 6e
Price: €€€
Google: 4.3 (1,269 reviews)
Food types: restaurant
Tags: Frenchie, Bistrot
Google summary: Old-school bistro offering elevated, traditional French dishes & wines in a warm atmosphere.
Google Maps: https://maps.google.com/?cid=7378348292976889048&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://www.restaurant-allard.fr/
Booking: https://bookings.zenchef.com/results?rid=374504&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web"
Ama Siam,"49 Rue de Belleville, 75019 Paris, France",Paris,19e,,restaurant,,,4.5,222,48.8731455,2.380934,https://maps.google.com/?cid=12753787120855512862&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.instagram.com/amasiam.paris/,,"Type: Thai Restaurant
Arrondissement: 19e
Google: 4.5 (222 reviews)
Food types: restaurant
Tags: Restaurant, Vietnamiese
Google Maps: https://maps.google.com/?cid=12753787120855512862&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://www.instagram.com/amasiam.paris/"
