name,address,city,arrondissement,neighborhood,category,cuisine,price_range,rating,review_count,latitude,longitude,google_maps_url,website_url,booking_url,description
AVE Pizza Romana,"90 Rue de la Folie Méricourt, 75011 Paris, France",Paris,11e,,restaurant,,,4.7,1576,48.8669478,2.3696267,https://maps.google.com/?cid=5925243916874515936&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://ave-pizza-romana.business.site/,https://bookings.zenchef.com/results?rid=363087&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web,"Type: Pizza Restaurant
Arrondissement: 11e
Google: 4.7 (1,576 reviews)
Food types: restaurant
Tags: Restaurant, Italian
Google summary: Airy, contemporary pizzeria serving Roman-style pies, plus calzones, starters, cocktails & desserts.
Google Maps: https://maps.google.com/?cid=5925243916874515936&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://ave-pizza-romana.business.site/
Booking: https://bookings.zenchef.com/results?rid=363087&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web"
Acid Lactic,"15 Rue de la Folie Méricourt, 75011 Paris, France",Paris,11e,,restaurant,,,4.3,39,48.8621272,2.3739241,https://maps.google.com/?cid=9406144155338785582&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,"Type: Pizza Restaurant
Arrondissement: 11e
Google: 4.3 (39 reviews)
Food types: restaurant
Tags: bootstrap, paris, Pizza
Google Maps: https://maps.google.com/?cid=9406144155338785582&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
Anima,"78 Rue du Cherche-Midi, 75006 Paris, France",Paris,6e,,restaurant,,€€,4.2,766,48.8480208,2.3235003,https://maps.google.com/?cid=16278103625304564261&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://anima.paris/,https://bookings.zenchef.com/results?rid=360988&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web,"Type: Italian Restaurant
Arrondissement: 6e
Price: €€
Google: 4.2 (766 reviews)
Food types: restaurant
Tags: bootstrap, left-bank, Pizza
Google summary: Fashionable restaurant in a former tapestry workshop dishing up traditional Italian cuisine.
Google Maps: https://maps.google.com/?cid=16278103625304564261&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://anima.paris/
Booking: https://bookings.zenchef.com/results?rid=360988&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web"
Caffè Stern,"47 Pass. des Panoramas, 75002 Paris, France",Paris,2e,,restaurant,,€€€,4.4,459,48.8708944,2.3415247,https://maps.google.com/?cid=6345358125428023509&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.alajmo.it/en/sezione/caffe-stern/caffe-stern,https://thefork.fr/restaurant/stern-ristorante-r345083/?cc=24751-923,"Type: Italian Restaurant
Arrondissement: 2e
Price: €€€
Google: 4.4 (459 reviews)
Food types: restaurant
Tags: Restaurant, Gastro / higher end, Italian
Google Maps: https://maps.google.com/?cid=6345358125428023509&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://www.alajmo.it/en/sezione/caffe-stern/caffe-stern
Booking: https://thefork.fr/restaurant/stern-ristorante-r345083/?cc=24751-923"
Café Artcurial,"7 Rond-Point des Champs-Élysées Marcel-Dassault, 75008 Paris, France",Paris,8e,,restaurant,,,,,48.8686407,2.3088967,https://www.google.com/maps/search/?api=1&query=Caf%C3%A9%20Artcurial%2C%20Paris%2C%20France,http://www.cafeartcurial.fr/,,"Arrondissement: 8e
Food types: restaurant
Tags: Restaurant, Italian
Google Maps: https://www.google.com/maps/search/?api=1&query=Caf%C3%A9%20Artcurial%2C%20Paris%2C%20France
Website: http://www.cafeartcurial.fr/"
Casa Bini,"36 Rue Grégoire de Tours, 75006 Paris, France",Paris,6e,,restaurant,,€€,4.3,649,48.8522566,2.3374977,https://maps.google.com/?cid=8410390317281821262&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.casabini.fr/,https://bookings.zenchef.com/results?rid=2402&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web,"Type: Italian Restaurant
Arrondissement: 6e
Price: €€
Google: 4.3 (649 reviews)
Food types: restaurant
Tags: Italian, Restaurant
Google summary: Daily menus featuring elegant Italian starters & desserts, plus pasta dishes, in a wood-beamed stop.
Google Maps: https://maps.google.com/?cid=8410390317281821262&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.casabini.fr/
Booking: https://bookings.zenchef.com/results?rid=2402&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web"
Castille Paris - restaurant L'Assaggio,"33 Rue Cambon, 75001 Paris, France",Paris,1er,,restaurant,,,4.4,175,48.868336,2.326873,https://maps.google.com/?cid=6124682048026732297&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.castille.com,https://thefork.fr/restaurant/l-assaggio-castille-paris-r6120/?cc=24751-923,"Type: Italian Restaurant
Arrondissement: 1er
Google: 4.4 (175 reviews)
Food types: restaurant
Tags: Italian, Restaurant, Terrasse
Google Maps: https://maps.google.com/?cid=6124682048026732297&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: http://www.castille.com
Booking: https://thefork.fr/restaurant/l-assaggio-castille-paris-r6120/?cc=24751-923"
Chez Justine,"96 Rue Oberkampf, 75011 Paris, France",Paris,11e,,restaurant,,€€,4.4,2627,48.8656838,2.377854999999999,https://maps.google.com/?cid=3521816774576962417&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://justineparis.fr/,https://bookings.zenchef.com/results?rid=378661&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web,"Type: Restaurant
Arrondissement: 11e
Price: €€
Google: 4.4 (2,627 reviews)
Food types: restaurant
Tags: Restaurant, Trendy, Italian
Google summary: Barbecued meats, salads & wood-fired Neapolitan-style pizzas in a light-filled, modern brasserie.
Google Maps: https://maps.google.com/?cid=3521816774576962417&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Website: https://justineparis.fr/
Booking: https://bookings.zenchef.com/results?rid=378661&fullscreen=1&mini=0&pid=mapstr&primaryColor=FFC222&type=web"
Cibus,"5 Rue Molière, 75001 Paris, France",Paris,1er,,restaurant,,,4.4,76,48.864901,2.335596,https://maps.google.com/?cid=2559834538050633239&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,"Type: Italian Restaurant
Arrondissement: 1er
Google: 4.4 (76 reviews)
Food types: restaurant
Tags: Italian, Restaurant, Trendy
Google summary: Wood-lined, churchlike space known for Roman & Neapolitan-style organic pastas with Italian wines.
Google Maps: https://maps.google.com/?cid=2559834538050633239&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA"
Cosi,"54 Rue de Seine, 75006 Paris, France",Paris,6e,,restaurant,,,,,48.85412549999999,2.3368877,https://www.google.com/maps/search/?api=1&query=Cosi%2C%20Paris%2C%20France,http://www.facebook.com/Cosi-126474794072452/,,"Arrondissement: 6e
Food types: restaurant
Tags: Italian
Google Maps: https://www.google.com/maps/search/?api=1&query=Cosi%2C%20Paris%2C%20France
Website: http://www.facebook.com/Cosi-126474794072452/"
